bowl_name,knowledge_motion,knowledge_mixing_tool,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,execution_time_s,failure_count,failure_reasons
bowl_0011,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0011,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,2.64324,-2.556165,0.85,map,0.0,0.0,0.0,0.0,,,,2.64324,-2.556165,0.85,0.0,0.0,-0.737623,0.675213,0.0,-0.0,-1.659085,,,,,,,,,,,,,,Whisking,,,0,18.0367,0,
bowl_0012,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0012,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,navigation_target_resolution_failed,skip_object,pickup_pose_unavailable,False,,False,False,False,False,pr2,failed,,whisk_left,pickup_setup,0,0,0,False,False,False,,-0.111185,-0.114863,-0.051953,0.112268,0.107528,0.055447,0.223453,0.222391,0.1074,0.00533716,2.910457,-0.19905,0.84,map,0.0,0.0,0.0,0.0,,,,2.910457,-0.19905,0.84,0.0,0.0,-0.039478,0.99922,0.0,-0.0,-0.078977,,,,,,,,,,,,,,Whisking,,,0,5.7429,1,navigation setup -> RuntimeError: No collision-free navigation pose found for mixing bowl_0012.
bowl_0013,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0013,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,1.561067,0.166315,0.84,map,0.0,0.0,0.0,0.0,,,,1.561067,0.166315,0.84,0.0,0.0,-0.144946,0.98944,0.0,-0.0,-0.290917,,,,,,,,,,,,,,Whisking,,,0,15.0796,0,
bowl_0014,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0014,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.111185,-0.114863,-0.051953,0.112268,0.107528,0.055447,0.223453,0.222391,0.1074,0.00533716,2.472137,-0.203257,0.84,map,0.0,0.0,0.0,0.0,,,,2.472137,-0.203257,0.84,0.0,0.0,0.99716,0.075307,0.0,-0.0,2.990836,,,,,,,,,,,,,,Whisking,,,0,15.6711,0,
bowl_0015,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0015,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,1.770428,-0.031846,0.84,map,0.0,0.0,0.0,0.0,,,,1.770428,-0.031846,0.84,0.0,0.0,0.979772,0.200117,0.0,-0.0,2.738637,,,,,,,,,,,,,,Whisking,,,0,19.959,0,
bowl_0016,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0016,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,1.229225,0.059856,0.84,map,0.0,0.0,0.0,0.0,,,,1.229225,0.059856,0.84,0.0,0.0,0.103439,0.994636,0.0,-0.0,0.207248,,,,,,,,,,,,,,Whisking,,,0,15.9853,0,
bowl_0017,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0017,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,retry_with_left_arm,right_arm_failed,False,,False,False,False,True,pr2,success,LEFT,whisk_left,primary,2,1,1,True,True,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,2.190951,-0.426671,0.84,map,0.0,0.0,0.0,0.0,,,,2.190951,-0.426671,0.84,0.0,0.0,0.99859,-0.053088,0.0,-0.0,-3.035368,,,,,,,,,,,,,,Whisking,,,0,43.9311,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.00348m over 25 ticks)."
bowl_0018,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0018,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,1.779703,-0.383092,0.84,map,0.0,0.0,0.0,0.0,,,,1.779703,-0.383092,0.84,0.0,0.0,0.566862,0.823813,0.0,-0.0,1.205383,,,,,,,,,,,,,,Whisking,,,0,18.7542,0,
bowl_0019,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0019,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.111185,-0.114863,-0.051953,0.112268,0.107528,0.055447,0.223453,0.222391,0.1074,0.00533716,1.169343,-0.368972,0.84,map,0.0,0.0,0.0,0.0,,,,1.169343,-0.368972,0.84,0.0,0.0,0.843767,0.53671,0.0,-0.0,2.008527,,,,,,,,,,,,,,Whisking,,,0,16.3956,0,
bowl_0020,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0020,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.111185,-0.114863,-0.051953,0.112268,0.107528,0.055447,0.223453,0.222391,0.1074,0.00533716,2.147816,0.02156,0.84,map,0.0,0.0,0.0,0.0,,,,2.147816,0.02156,0.84,0.0,0.0,0.840767,0.541397,0.0,-0.0,1.997397,,,,,,,,,,,,,,Whisking,,,0,17.3328,0,
bowl_0021,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0021,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.097287,-0.100505,-0.045459,0.098234,0.094087,0.048516,0.195521,0.194592,0.093975,0.00357548,2.479053,0.158206,0.84,map,0.0,0.0,0.0,0.0,,,,2.479053,0.158206,0.84,0.0,0.0,-0.27147,0.962447,0.0,-0.0,-0.549841,,,,,,,,,,,,,,Whisking,,,0,18.4918,0,
bowl_0022,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0022,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,1.453809,-0.082177,0.84,map,0.0,0.0,0.0,0.0,,,,1.453809,-0.082177,0.84,0.0,0.0,-0.864273,0.503023,0.0,-0.0,-2.087406,,,,,,,,,,,,,,Whisking,,,0,14.7459,0,
bowl_0023,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0023,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,retry_with_left_arm,right_arm_failed,False,,False,False,False,True,pr2,success,LEFT,whisk_left,primary,2,1,1,True,True,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,2.816634,0.140359,0.84,map,0.0,0.0,0.0,0.0,,,,2.816634,0.140359,0.84,0.0,0.0,0.182753,0.983159,0.0,-0.0,0.367572,,,,,,,,,,,,,,Whisking,,,0,43.9503,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.02687m over 25 ticks)."
bowl_0024,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0024,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,2.67377,-0.44668,0.84,map,0.0,0.0,0.0,0.0,,,,2.67377,-0.44668,0.84,0.0,0.0,-0.485717,0.874116,0.0,-0.0,-1.014366,,,,,,,,,,,,,,Whisking,,,0,20.3177,0,
bowl_0025,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0025,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,1.88721,0.23958,0.84,map,0.0,0.0,0.0,0.0,,,,1.88721,0.23958,0.84,0.0,0.0,0.744175,0.667985,0.0,-0.0,1.678597,,,,,,,,,,,,,,Whisking,,,0,15.7417,0,
bowl_0026,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0026,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,1.490902,-0.452687,0.84,map,0.0,0.0,0.0,0.0,,,,1.490902,-0.452687,0.84,0.0,0.0,0.921892,-0.387448,0.0,-0.0,-2.34587,,,,,,,,,,,,,,Whisking,,,0,15.6705,0,
bowl_0001,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,d23e0b20-4d08-4ff4-be12-2c5884509db3,bowl_0001,2661002775,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,collision_or_motion_failure,task_failed,all_mix_attempts_failed,False,,False,False,False,False,armar7,failed,,whisk_left,primary,2,1,2,True,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,-2.904682,-2.532257,0.45,map,0.0,0.0,0.0,0.0,,,,-2.904682,-2.532257,0.45,0.0,0.0,0.913997,-0.40572,0.0,-0.0,-2.306059,,,,,,,,,,,,,,Whisking,,,0,27.3115,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.01358m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.00568m over 25 ticks)."
bowl_0002,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,d23e0b20-4d08-4ff4-be12-2c5884509db3,bowl_0002,2661002775,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,collision_or_motion_failure,task_failed,all_mix_attempts_failed,False,,False,False,False,False,armar7,failed,,whisk_left,primary,2,1,2,True,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,2.200998,-2.115397,0.85,map,0.0,0.0,0.0,0.0,,,,2.200998,-2.115397,0.85,0.0,0.0,-0.83268,0.553755,0.0,-0.0,-1.96786,,,,,,,,,,,,,,Whisking,,,0,43.353,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.00220m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.00546m over 25 ticks)."
bowl_0003,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,d23e0b20-4d08-4ff4-be12-2c5884509db3,bowl_0003,2661002775,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,armar7,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,2.620418,-2.117417,0.85,map,0.0,0.0,0.0,0.0,,,,2.620418,-2.117417,0.85,0.0,0.0,-0.742174,0.670207,0.0,-0.0,-1.672618,,,,,,,,,,,,,,Whisking,,,0,8.7866,0,
bowl_0004,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,d23e0b20-4d08-4ff4-be12-2c5884509db3,bowl_0004,2661002775,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,collision_or_motion_failure,task_failed,all_mix_attempts_failed,False,,False,False,False,False,armar7,failed,,whisk_left,primary,2,1,2,True,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,1.960866,-2.318575,0.85,map,0.0,0.0,0.0,0.0,,,,1.960866,-2.318575,0.85,0.0,0.0,0.993995,0.109426,0.0,-0.0,2.922301,,,,,,,,,,,,,,Whisking,,,0,43.5754,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.01643m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.01478m over 25 ticks)."
